,date,content,username
0,2022-07-29 23:59:59+00:00,Get a brain you slithering Trump sucking idiot https://t.co/keBl3ylfpW,rwjg
1,2022-07-29 23:59:59+00:00,@zerohedge Trump has been accurate in most of his predictions,coffeefox4
2,2022-07-29 23:59:58+00:00,@ccdawson52 @JonesForAR @SarahHuckabee Mike or Trump?,NWAJack
3,2022-07-29 23:59:58+00:00,"@RonFilipkowski Um...Trump was the first to use the 'Big Lie' in reference to the 2020 election:
https://t.co/pjyayFwKFa",MarthaM00086745
4,2022-07-29 23:59:55+00:00,@SaftyInNumbers @robreiner Trump sells news! The press adores him!,johnnyyuma1a
5,2022-07-29 23:59:54+00:00,@donwinslow @January6thCmte The trump appointed Inspector General helped keep the trump secret service cover up quiet 🙈🙉🙊,wafflehouseblow
6,2022-07-29 23:59:54+00:00,@RonFilipkowski I wonder if they know Trump is a coward.,theysay67
7,2022-07-29 23:59:54+00:00,@Jim_Jordan We would have more things to worry about than the recession if Trump were still in office. Can't you find a better Repub to support?,dinosaur205
8,2022-07-29 23:59:53+00:00,"@Jim_Jordan Trump is on his way to jail, and you’re gonna follow right behind him",Brandon62499779
9,2022-07-29 23:59:53+00:00,@townhallcom Always Trump’s fault.  Or Putin’s.  I hate these people.,DoeADeer57
10,2022-07-29 23:59:53+00:00,@AnnaBel09390268 Trump/DeSantis! In 90 days!,BillyBlueEyes13
11,2022-07-29 23:59:52+00:00,Tony Schwartz: The Truth About Trump | Oxford Union Q&amp;A - YouTube https://t.co/xAliHRusIL,chrispdorf
12,2022-07-29 23:59:50+00:00,"I don't know who needs to hear this, but Donald Trump branded himself a liar by LYING. He's one of the world's biggest pathological liars, if not THEE biggest. Lying has ALWAYS been one of Trump's many unhealthy dichotomies linked to his Personality Disorders.",73MilitaryMama
13,2022-07-29 23:59:49+00:00,"The Trumps are sunglow, daisies are beige, Gay people is a lesbian and so on.",GellatioBot
14,2022-07-29 23:59:49+00:00,@RealLunaLopez Exactly! Trump 2022,schase4819
15,2022-07-29 23:59:48+00:00,@atrupar @Acyn More likely the Trump boys.,MuthrBear
16,2022-07-29 23:59:48+00:00,@GayFLX @DearAuntCrabby Trumps other sister. The one no one talks about 😆,theRsarecrazy
17,2022-07-29 23:59:48+00:00,"@newsmax @GordonGChang @KILM3NY Newsmax is a trashy republican propaganda organization that posts political lies, false accusations, and propaganda in hope of political gain.
This criminal organization supported the failed coup on the U.S. Govt. that was based on traitor trump's Big Lie.",Awesome26340342
18,2022-07-29 23:59:48+00:00,@BuckSexton @clayandbuck Love me some Trump but those hat makers stink!,ARMarsh1982
19,2022-07-29 23:59:47+00:00,@RonnyJacksonTX That he didn’t lock Trump and the obvious suspects on 1/21/21.,Qwispnet
20,2022-07-29 23:59:47+00:00,@politvidchannel American people give Trump four years to make America 🇺🇸 great again...he didn't do sh**t !,dkusa0325
21,2022-07-29 23:59:47+00:00,@LPNational Easy on the T word bub. It’s becoming overused though I think Trump has a lock on it right now.,Gibbs870755241
22,2022-07-29 23:59:47+00:00,"@matthew41468709 @TimHannan Look at you and your precious 1 Like from Philly Brenda.

Philly DoOgLe here to tell you that Trump's blood type has been tested....and sadly for you it's not A, B, or O. It's Seal Blubber.",PHL_BirdsFlyers
23,2022-07-29 23:59:46+00:00,"@WSJ @WSJopinion ... but the president and his administration are also dealing with the rising costs of battling the coronavirus pandemic, not to mention the economic damage, his predecessor Trump has caused!",gabbinggeek
24,2022-07-29 23:59:46+00:00,"Since when? But if you're really worried, ask for a thorough investigation of Trump's Presidency! https://t.co/lbyFKKAIlv",judith_hand
