,date,content,username
0,2022-07-29 23:59:52+00:00,"So the defendant is ashamed of having once been a stripper, but extremely proud for being the one to initiate violence? 🙄 What a clown.

#AmberHeardlsAnAbuser 
#AmberHeardIsFinished 
#AmberHeardIsALiar 
#AmberHeardIsAHusbandBeater",WildeRochester
1,2022-07-29 23:57:57+00:00,#AmberHeardIsALiar #AmberHeardIsFinished #AmberHeardlsAnAbuser #JohnnyDeppWon https://t.co/fNI8YUOr05,AsiaSays1
2,2022-07-29 23:56:03+00:00,#AmberHeardIsALiar 😡😡😡 https://t.co/fvjEfAaRha,roxx8825
3,2022-07-29 23:55:29+00:00,"Omfg so ah simps argument was that AH didn't want to discuss her alleged sa on the stand and it being televised yet EB says that AH would be claiming rape she's a disgrace to real  victims and Elaine's no better for representing her 🤬😲 #Johnnydeppisavictim 
#AmberHeardIsALiar https://t.co/rLZYSPZxL1",depp_chelsea
4,2022-07-29 23:54:05+00:00,"#AmberHeardIsALiar 😡😡😡
#JohnnyDeppGotJustice ✊️✊️✊️ https://t.co/d1tedrEjhy",roxx8825
5,2022-07-29 23:53:32+00:00,"NEW TRIAL INFO: The moment the court started considering cameras, team Heard suddenly announced SA allegations without following correct protocol! @aburkhartlaw is studying unsealed documents 

https://t.co/OwDVQSgPnh

#JohnnyDeppWillWinAgain #AmberHeardIsALiar",BeattieNerys
6,2022-07-29 23:52:50+00:00,"Hey @DrProudman @Eve_Barlow and all the other abuser defensers, here for you &amp; your UK verdict ! Your Standford puppet blocked me. Feel free to pass it on ! #AmberHeardlsAnAbuser #AmberHeardIsALiar https://t.co/BXc8fYta2J",Kyky_MTL
7,2022-07-29 23:51:57+00:00,"So AH definitely cheated on JD with CD!!!! Thank F he finally escaped her talons!! What a b***ch...
https://t.co/Uj3MBDb0x1

#AmberHeardIsALiar 
#AmberHeardDeservesPrison 
#AmberHeardIsAnAbuser #AmberHeardCommittedPerjury 
#AmberHeardDoesNOTSpeakForMe 
#AmberHeardCommittedPerjury",Jar81Jar
8,2022-07-29 23:50:24+00:00,"AHHHHHHHHHHHHHHHHHHH😂
That's amazing im so happy these were unsealed 😂
#JohnnyDepp #AmberHeardlsAnAbuser #AmberHeardIsALiar #AmberTurd #amberheard https://t.co/fR34uQhNT0",janerosedoe027
9,2022-07-29 23:49:35+00:00,#AmberHeardIsALiar https://t.co/kwtfu27ALa,Itsher45904573
10,2022-07-29 23:49:13+00:00,"@Arieswarriorwin 🤣🤣🤣#WarnerBrotherMoviesAreDone
No saving that movie as long as the abuser SH is in it..
#AmberHeardlsAnAbuser 
#AmberHeardDeservesPrison 
#AmberHeardIsALiar",JeanCam72665553
